,code,word
6,11121,ablaze
16,11135,absentee
18,11141,absinthe
24,11151,accent
26,11153,acclimatealskedhf
28,11155,account
31,11162,accustom
32,11163,acetone
34,11165,aching
40,11215,acrobat
43,11222,action
45,11224,activator
46,11225,active
48,11231,activist
49,11232,activity
54,11241,aeration
55,11242,aerobics
57,11244,aerospace
60,11251,affected
65,11256,affirm
70,11265,affront
71,11266,aflame
81,11324,aged
83,11326,agency
84,11331,agenda
91,11342,agnostic
92,11343,agonize
93,11344,agonizing
94,11345,agony
97,11352,agreed
98,11353,agreeing
102,11361,ahoy
103,11362,aide
104,11363,aids
115,11422,alibi
116,11423,alienable
117,11424,alienate
118,11425,aliens
120,11431,alive
121,11432,alkaline
126,11441,aloe
128,11443,aloha
131,11446,aloof
132,11451,alphabet
143,11466,amber
144,11511,ambiance
154,11525,amenity
155,11526,amiable
157,11532,amid
160,11535,amiss
162,11541,ammonium
175,11562,amused
176,11563,amusement
179,11566,anaconda
180,11611,anaerobic
182,11613,anatomist
185,11616,anchovy
192,11631,angelfish
198,11641,angling
203,11646,animal
206,11653,animation
208,11655,anime
211,11662,annex
214,11665,annoying
216,12111,annuity
220,12115,antacid
222,12121,anteater
228,12131,antibody
235,12142,antirust
236,12143,antitoxic
239,12146,antivirus
241,12152,antonym
242,12153,antsy
243,12154,anvil
244,12155,anybody
250,12165,anytime
258,12221,appease
262,12225,appetite
279,12254,april
283,12262,aqua
287,12266,ardently
289,12312,arena
292,12315,argue
293,12316,arise
297,12324,armed
299,12326,armhole
300,12331,arming
301,12332,armless
303,12334,armored
304,12335,armory
306,12341,army
307,12342,aroma
308,12343,arose
311,12346,arrange
316,12355,arrogance
317,12356,arrogant
322,12365,ascent
325,12412,ashen
326,12413,ashes
331,12422,asparagus
334,12425,aspire
337,12432,astound
338,12433,astride
339,12434,astrology
348,12451,atrium
350,12453,atrophy
354,12461,attendant
358,12465,attest
361,12512,attitude
365,12516,auction
368,12523,audible
374,12533,august
377,12536,autism
383,12546,autopilot
386,12553,avatar
398,12613,awaken
401,12616,awhile
402,12621,awkward
407,12626,babble
418,12645,backfire
421,12652,backlands
422,12653,backlash
428,12663,backpedal
431,12666,backshift
439,13122,backtrack
440,13123,backup
447,13134,bacterium
448,13135,badass
453,13144,baffle
454,13145,baffling
455,13146,bagel
457,13152,baggage
471,13214,balcony
483,13234,banking
485,13236,bankroll
486,13241,banner
490,13245,barbecue
500,13263,barmaid
501,13264,barman
509,13316,barrier
511,13322,bartender
513,13324,bash
514,13325,basically
518,13333,basis
519,13334,basket
533,13356,blabber
